ts,scan_id,timeframe,level_type,level,touches,price,distance_atr,relation,event,atr,source_ts
2026-09-22T13:21:14.548874+00:00,20260922T132113.432092Z,1h,RESISTANCE,86369.835,2,85992.29,0.7333,BELOW,RETEST,514.85928571,1790064000
2026-09-22T13:21:14.548912+00:00,20260922T132113.432092Z,1h,RESISTANCE,85257.0,1,85992.29,1.4281,ABOVE,NONE,514.85928571,1789981200
2026-09-22T13:21:14.548935+00:00,20260922T132113.432092Z,1h,SUPPORT,85059.28,1,85992.29,1.8122,ABOVE,NONE,514.85928571,1790053200
2026-09-22T13:21:14.548959+00:00,20260922T132113.432092Z,1h,RESISTANCE,87397.0,1,85992.29,2.7283,BELOW,NONE,514.85928571,1790020800
2026-09-22T13:21:14.548980+00:00,20260922T132113.432092Z,1h,RESISTANCE,82006.055,2,85992.29,7.7424,ABOVE,NONE,514.85928571,1789952400
2026-09-22T13:21:14.549001+00:00,20260922T132113.432092Z,1h,RESISTANCE,81437.55,3,85992.29,8.8466,ABOVE,NONE,514.85928571,1789920000
2026-09-22T13:21:14.549022+00:00,20260922T132113.432092Z,1h,SUPPORT,81145.88,1,85992.29,9.4131,ABOVE,NONE,514.85928571,1789822800
2026-09-22T13:21:14.549049+00:00,20260922T132113.432092Z,1h,SUPPORT,80850.21,3,85992.29,9.9874,ABOVE,NONE,514.85928571,1789952400
2026-09-22T13:21:14.577939+00:00,20260922T132113.432092Z,15m,RESISTANCE,86108.47,2,85992.29,0.5285,BELOW,RETEST,219.82214286,1790076600
2026-09-22T13:21:14.577972+00:00,20260922T132113.432092Z,15m,RESISTANCE,85858.49,1,85992.29,0.6087,ABOVE,NONE,219.82214286,1790045100
2026-09-22T13:21:14.577993+00:00,20260922T132113.432092Z,15m,SUPPORT,85743.835,4,85992.29,1.1303,ABOVE,NONE,219.82214286,1790079300
2026-09-22T13:21:14.578014+00:00,20260922T132113.432092Z,15m,RESISTANCE,86259.99,1,85992.29,1.2178,BELOW,NONE,219.82214286,1790070300
2026-09-22T13:21:14.578034+00:00,20260922T132113.432092Z,15m,RESISTANCE,85721.91,1,85992.29,1.23,ABOVE,NONE,219.82214286,1790049600
2026-09-22T13:21:14.578061+00:00,20260922T132113.432092Z,15m,SUPPORT,86266.36,1,85992.29,1.2468,BELOW,NONE,219.82214286,1790030700
2026-09-22T13:21:14.578081+00:00,20260922T132113.432092Z,15m,RESISTANCE,86384.73,1,85992.29,1.7853,BELOW,NONE,219.82214286,1790066700
2026-09-22T13:21:14.578101+00:00,20260922T132113.432092Z,15m,RESISTANCE,85576.25,2,85992.29,1.8926,ABOVE,NONE,219.82214286,1790058600
2026-09-22T13:21:14.609069+00:00,20260922T132113.432092Z,5m,RESISTANCE,85976.6,1,85992.29,0.1237,ABOVE,RETEST,126.835,1790074800
2026-09-22T13:21:14.609103+00:00,20260922T132113.432092Z,5m,SUPPORT,85912.34,1,85992.29,0.6303,ABOVE,NONE,126.835,1790081400
2026-09-22T13:21:14.609125+00:00,20260922T132113.432092Z,5m,RESISTANCE,86076.7,1,85992.29,0.6655,BELOW,NONE,126.835,1790076000
2026-09-22T13:21:14.609148+00:00,20260922T132113.432092Z,5m,SUPPORT,85865.64,1,85992.29,0.9985,ABOVE,NONE,126.835,1790078100
2026-09-22T13:21:14.609169+00:00,20260922T132113.432092Z,5m,RESISTANCE,86126.7,1,85992.29,1.0597,BELOW,NONE,126.835,1790077200
2026-09-22T13:21:14.609190+00:00,20260922T132113.432092Z,5m,SUPPORT,85815.49,2,85992.29,1.3939,ABOVE,NONE,126.835,1790076600
2026-09-22T13:21:14.609211+00:00,20260922T132113.432092Z,5m,RESISTANCE,86191.96,2,85992.29,1.5743,BELOW,NONE,126.835,1790082300
