ts,scan_id,price,spread,spread_bps,bid_depth,ask_depth,imbalance,bid_levels,ask_levels,nearest_bid,nearest_ask,nearest_bid_distance_bps,nearest_ask_distance_bps,buy_volume,sell_volume,trade_delta,top_bid_clusters,top_ask_clusters,error,diagnostic_only
2026-09-23T04:30:50.805643+00:00,20260923T043049.684990Z,87074.76,0.00999999999476131,0.0011484384217379767,4.80237039,2.7193936699999997,0.2769266229815776,25,25,87099.99,87100.0,0.0,2.8986585779857723,0.009610179999999998,0.3713860000000001,-0.3617758200000001,"[{'price': 87091.06, 'size': 1.06495127, 'orders': 2}, {'price': 87090.0, 'size': 1.01, 'orders': 2}, {'price': 87092.7, 'size': 0.3677693, 'orders': 1}, {'price': 87089.87, 'size': 0.3677693, 'orders': 1}, {'price': 87087.1, 'size': 0.3677693, 'orders': 1}]","[{'price': 87108.64, 'size': 0.3677693, 'orders': 1}, {'price': 87111.48, 'size': 0.3677693, 'orders': 1}, {'price': 87114.72, 'size': 0.3677693, 'orders': 1}, {'price': 87118.5, 'size': 0.3677693, 'orders': 1}, {'price': 87117.83, 'size': 0.28890101, 'orders': 2}]",,True
2026-09-23T04:35:37.031945+00:00,20260923T043536.179510Z,87229.72,0.010000000009313226,0.0011463982699145686,4.437950870000001,3.2309567599999998,0.15738800990096172,25,25,87217.06,87217.07,1.4513402083605786,0.0,0.16968431999999997,1.0610656100000004,-0.8913812900000004,"[{'price': 87207.0, 'size': 1.0, 'orders': 1}, {'price': 87211.09, 'size': 0.41264924, 'orders': 1}, {'price': 87207.25, 'size': 0.41264924, 'orders': 1}, {'price': 87204.56, 'size': 0.41264924, 'orders': 1}, {'price': 87201.12, 'size': 0.41264924, 'orders': 1}]","[{'price': 87230.98, 'size': 0.85503554, 'orders': 2}, {'price': 87227.28, 'size': 0.56824215, 'orders': 1}, {'price': 87227.29, 'size': 0.41264924, 'orders': 1}, {'price': 87229.99, 'size': 0.41264924, 'orders': 1}, {'price': 87232.73, 'size': 0.41264924, 'orders': 1}]",,True
2026-09-23T04:48:51.096947+00:00,20260923T044850.068354Z,87210.02,2.0,0.22933144608841965,5.506591,4.5814455500000015,0.09170718656843076,25,25,87207.0,87209.0,0.34629048359398085,0.0,0.21615679999999998,0.23815616000000006,-0.02199936000000008,"[{'price': 87199.75, 'size': 1.00182298, 'orders': 2}, {'price': 87199.5, 'size': 1.0, 'orders': 1}, {'price': 87203.23, 'size': 0.39244315, 'orders': 1}, {'price': 87206.13, 'size': 0.36722642, 'orders': 1}, {'price': 87203.22, 'size': 0.36722642, 'orders': 1}]","[{'price': 87210.2, 'size': 1.51311734, 'orders': 1}, {'price': 87218.19, 'size': 0.54303253, 'orders': 1}, {'price': 87226.84, 'size': 0.46717468, 'orders': 1}, {'price': 87218.2, 'size': 0.36722642, 'orders': 1}, {'price': 87221.57, 'size': 0.36722642, 'orders': 1}]",,True
2026-09-23T04:59:18.298173+00:00,20260923T045917.256126Z,87198.51,0.010000000009313226,0.0011468085875909148,4.289764269999998,4.52524507,-0.026713618887668947,25,25,87198.51,87198.52,0.0,0.0011468085875909148,0.04881263,1.0335147,-0.98470207,"[{'price': 87185.67, 'size': 1.05752722, 'orders': 2}, {'price': 87183.0, 'size': 1.0, 'orders': 1}, {'price': 87192.18, 'size': 0.32107167, 'orders': 1}, {'price': 87188.65, 'size': 0.32107167, 'orders': 1}, {'price': 87185.66, 'size': 0.32107167, 'orders': 1}]","[{'price': 87211.5, 'size': 1.0, 'orders': 1}, {'price': 87208.72, 'size': 0.88406569, 'orders': 2}, {'price': 87205.88, 'size': 0.38405201, 'orders': 1}, {'price': 87203.22, 'size': 0.32107167, 'orders': 1}, {'price': 87205.89, 'size': 0.32107167, 'orders': 1}]",,True
2026-09-23T05:16:40.560146+00:00,20260923T051639.283904Z,86959.62,0.00999999999476131,0.0011499590263574415,3.7508173399999998,2.8449257100000005,0.13734489399189062,25,25,86961.35,86961.36,0.0,0.2000928706916197,0.50776799,0.14268112999999996,0.36508686,"[{'price': 86949.0, 'size': 1.0, 'orders': 1}, {'price': 86952.07, 'size': 0.87068075, 'orders': 2}, {'price': 86955.01, 'size': 0.29425089, 'orders': 1}, {'price': 86955.0, 'size': 0.27586206, 'orders': 1}, {'price': 86952.06, 'size': 0.27586206, 'orders': 1}]","[{'price': 86970.14, 'size': 0.41874065, 'orders': 1}, {'price': 86967.53, 'size': 0.27586206, 'orders': 1}, {'price': 86970.15, 'size': 0.27586206, 'orders': 1}, {'price': 86972.88, 'size': 0.27586206, 'orders': 1}, {'price': 86976.16, 'size': 0.27586206, 'orders': 1}]",,True
2026-09-23T05:31:36.634696+00:00,20260923T053135.624264Z,86736.38,0.00999999999476131,0.001152918763125843,2.5599243700000005,2.21814058,0.07153184261339947,25,25,86737.0,86737.01,0.0,0.0726338821138379,0.24662046999999998,0.08115747000000001,0.16546299999999997,"[{'price': 86728.5, 'size': 1.0, 'orders': 1}, {'price': 86724.26, 'size': 0.26953824, 'orders': 1}, {'price': 86731.84, 'size': 0.23060661, 'orders': 1}, {'price': 86728.51, 'size': 0.23060661, 'orders': 1}, {'price': 86724.25, 'size': 0.23060661, 'orders': 1}]","[{'price': 86748.74, 'size': 0.29563822, 'orders': 1}, {'price': 86742.57, 'size': 0.23060661, 'orders': 1}, {'price': 86746.09, 'size': 0.23060661, 'orders': 1}, {'price': 86749.13, 'size': 0.23060661, 'orders': 1}, {'price': 86751.82, 'size': 0.23060661, 'orders': 1}]",,True
2026-09-23T05:45:24.500127+00:00,20260923T054523.543871Z,86759.86,0.010000000009313226,0.0011526067480184068,3.19612328,5.665251259999997,-0.2786393881507234,25,25,86726.95,86726.96,3.7932288041962603,0.0,0.19278201,0.32042334,-0.12764133,"[{'price': 86716.5, 'size': 1.0, 'orders': 1}, {'price': 86725.59, 'size': 0.23060661, 'orders': 1}, {'price': 86722.98, 'size': 0.23060661, 'orders': 1}, {'price': 86715.55, 'size': 0.23060661, 'orders': 1}, {'price': 86712.81, 'size': 0.23060661, 'orders': 1}]","[{'price': 86726.96, 'size': 3.03254639, 'orders': 3}, {'price': 86740.03, 'size': 0.3582616, 'orders': 1}, {'price': 86748.28, 'size': 0.32854965, 'orders': 1}, {'price': 86737.71, 'size': 0.23060661, 'orders': 1}, {'price': 86740.46, 'size': 0.23060661, 'orders': 1}]",,True
2026-09-23T05:56:13.467048+00:00,20260923T055612.794987Z,86490.72,0.010000000009313226,0.0011561934054096468,3.7125418999999997,3.0610599499999998,0.09617954589403568,25,25,86498.59,86498.6,0.0,0.9110804026148304,3.708051349999999,0.6898521599999999,3.018199189999999,"[{'price': 86487.0, 'size': 1.0, 'orders': 1}, {'price': 86487.03, 'size': 0.78867621, 'orders': 2}, {'price': 86497.41, 'size': 0.20788995, 'orders': 1}, {'price': 86493.28, 'size': 0.20788995, 'orders': 1}, {'price': 86487.02, 'size': 0.20788995, 'orders': 1}]","[{'price': 86514.0, 'size': 1.0, 'orders': 1}, {'price': 86513.43, 'size': 0.71792641, 'orders': 2}, {'price': 86511.38, 'size': 0.20788995, 'orders': 1}, {'price': 86513.99, 'size': 0.20788995, 'orders': 1}, {'price': 86516.72, 'size': 0.20788995, 'orders': 1}]",,True
2026-09-23T06:15:57.936439+00:00,20260923T061557.008198Z,86603.21,0.00999999999476131,0.0011546916095559634,3.7241864199999997,2.78662516,0.14400067464400496,25,25,86603.21,86603.22,0.0,0.0011546916095559634,0.00357411,0.18883215000000006,-0.18525804000000007,"[{'price': 86592.0, 'size': 1.0, 'orders': 1}, {'price': 86595.31, 'size': 0.84829984, 'orders': 2}, {'price': 86586.93, 'size': 0.30201595, 'orders': 2}, {'price': 86603.21, 'size': 0.21237161, 'orders': 13}, {'price': 86595.32, 'size': 0.20788995, 'orders': 1}]","[{'price': 86617.46, 'size': 1.09392148, 'orders': 2}, {'price': 86613.02, 'size': 0.28810263, 'orders': 1}, {'price': 86608.84, 'size': 0.20788995, 'orders': 1}, {'price': 86614.13, 'size': 0.20788995, 'orders': 1}, {'price': 86617.45, 'size': 0.20788995, 'orders': 1}]",,True
2026-09-23T06:38:11.479584+00:00,20260923T063809.872441Z,86525.16,0.00999999999476131,0.0011557331988477468,1.88500958,3.6372175999999996,-0.31730096623804593,25,25,86526.89,86526.9,0.0,0.20109757670378034,0.12720990000000004,0.13357625,-0.006366349999999965,"[{'price': 86511.83, 'size': 0.47768022, 'orders': 1}, {'price': 86516.61, 'size': 0.22063354, 'orders': 2}, {'price': 86521.21, 'size': 0.16185263, 'orders': 1}, {'price': 86518.45, 'size': 0.16185263, 'orders': 1}, {'price': 86515.78, 'size': 0.16185263, 'orders': 1}]","[{'price': 86541.0, 'size': 1.0, 'orders': 1}, {'price': 86538.35, 'size': 0.91607615, 'orders': 2}, {'price': 86538.34, 'size': 0.27025035, 'orders': 1}, {'price': 86534.68, 'size': 0.25404769, 'orders': 1}, {'price': 86534.69, 'size': 0.16185263, 'orders': 1}]",,True
